ORIGIN,RACE,SEX,YEAR,TOTAL_POP,POP_0,POP_1,POP_2,POP_3,POP_4,POP_5,POP_6,POP_7,POP_8,POP_9,POP_10,POP_11,POP_12,POP_13,POP_14,POP_15,POP_16,POP_17,POP_18,POP_19,POP_20,POP_21,POP_22,POP_23,POP_24,POP_25,POP_26,POP_27,POP_28,POP_29,POP_30,POP_31,POP_32,POP_33,POP_34,POP_35,POP_36,POP_37,POP_38,POP_39,POP_40,POP_41,POP_42,POP_43,POP_44,POP_45,POP_46,POP_47,POP_48,POP_49,POP_50,POP_51,POP_52,POP_53,POP_54,POP_55,POP_56,POP_57,POP_58,POP_59,POP_60,POP_61,POP_62,POP_63,POP_64,POP_65,POP_66,POP_67,POP_68,POP_69,POP_70,POP_71,POP_72,POP_73,POP_74,POP_75,POP_76,POP_77,POP_78,POP_79,POP_80,POP_81,POP_82,POP_83,POP_84,POP_85,POP_86,POP_87,POP_88,POP_89,POP_90,POP_91,POP_92,POP_93,POP_94,POP_95,POP_96,POP_97,POP_98,POP_99,POP_100
0,0,0,2012,314004465,4193434,4006542,3980475,3982234,4111295,4130331,4095412,4081813,4089747,4059345,4041071,4139877,4200856,4129515,4127827,4135989,4166434,4258609,4347938,4417007,4538189,4621066,4618227,4437647,4338476,4268570,4292760,4334661,4203152,4275574,4281091,4239893,4330434,4064228,3985832,3948210,3834465,3957948,3837493,3901339,4082826,4323000,4381928,4156170,4073540,4081818,4163118,4418834,4506146,4508087,4504405,4564882,4607654,4458255,4436381,4392100,4239694,4206729,4039592,3891102,3745640,3634196,3552135,3453259,3422734,3569556,2639821,2607453,2546509,2609605,2280038,2088697,1979907,1867500,1792612,1657546,1587866,1527381,1377410,1337184,1282942,1228215,1183624,1074395,1012188,930150,834342,758772,666314,570983,490779,409098,325568,241442,194638,141801,105998,77755,55076,37251,64818
0,0,0,2013,316438601,4223179,4203801,4018462,3991356,3991608,4119473,4137854,4102526,4088690,4096406,4065715,4047096,4145520,4206450,4135593,4135287,4146103,4180283,4276593,4369840,4441701,4564401,4648155,4645868,4465407,4365511,4294592,4317208,4357179,4223981,4293924,4297218,4254052,4342312,4074497,3994193,3955145,3840361,3962276,3840864,3903146,4082859,4321147,4378289,4151734,4067850,4074737,4154486,4407816,4493278,4493487,4488208,4546845,4587521,4436927,4413220,4367477,4214306,4179679,4011674,3861929,3715188,3602054,3517915,3417265,3383899,3525432,2604660,2569505,2506018,2564081,2236737,2045331,1934623,1820523,1742930,1606955,1534495,1470836,1321127,1276722,1218825,1160298,1110838,1000756,934829,850951,755443,679239,589024,497813,421486,345568,270233,196566,155229,110619,80794,57814,39920,68765
0,0,0,2014,318892103,4250341,4234076,4216112,4029711,4001066,4000101,4127257,4145220,4109652,4095615,4103034,4072011,4053032,4151403,4212824,4143437,4145909,4160610,4199151,4299552,4395706,4469171,4592763,4676991,4674628,4493460,4392534,4320057,4340696,4378745,4243247,4310841,4312027,4266646,4352852,4083304,4001582,3961347,3845303,3965871,3843162,3903870,4081797,4317969,4373638,4146178,4061131,4066710,4144656,4395601,4479089,4477722,4470925,4527500,4565963,4414205,4388959,4341731,4187675,4151174,3982028,3831012,3682878,3567923,3481718,3379014,3342623,3478593,2567243,2529073,2462837,2515802,2190696,1999028,1886387,1770498,1690174,1553421,1478105,1411206,1261795,1213280,1151797,1089379,1035163,924688,855721,770908,676685,600928,514014,427942,356463,287082,220318,156977,121272,84429,60174,41956,73333
0,0,0,2015,321362789,4274977,4261775,4246849,4227712,4039760,4009862,4008181,4134894,4152604,4116843,4102521,4109596,4078213,4059203,4158113,4221052,4154561,4161066,4180332,4223169,4326609,4424431,4498830,4622852,4706891,4703653,4521446,4418936,4344509,4363173,4398718,4261005,4326327,4325198,4277864,4361910,4091113,4008205,3966572,3849486,3968375,3844359,3903463,4079413,4313751,4367847,4139588,4053441,4057500,4133670,4382098,4463772,4460878,4452353,4506731,4542959,4390366,4363556,4314708,4159596,4120895,3950598,3798189,3648553,3531770,3443204,3338317,3298750,3428778,2527342,2485931,2417003,2464437,2141535,1949680,1835011,1717358,1634315,1496811,1418588,1348293,1199486,1146932,1081777,1015603,956956,846865,775714,690963,599090,524860,442308,362310,296517,234273,176216,122816,92702,62970,43744,77894
0,0,0,2016,323848670,4297542,4286945,4275005,4258838,4238061,4048846,4018210,4016090,4142546,4160072,4124023,4109359,4116073,4084656,4066238,4166742,4232662,4170374,4181627,4205382,4251427,4356592,4455345,4530176,4653957,4737040,4732559,4548749,4444258,4367858,4384008,4417112,4277234,4340113,4336926,4287574,4369909,4098075,4013808,3971000,3852557,3969697,3844380,3901751,4075996,4308403,4360984,4132007,4044589,4047142,4121467,4367507,4447374,4442749,4432361,4484559,4518828,4365389,4336880,4286200,4129775,4088809,3917227,3763307,3612155,3493271,3402207,3295031,3252061,3375738,2484764,2440126,2368196,2409581,2089111,1897093,1780415,1661053,1575209,1437016,1355743,1282167,1134285,1077594,1008916,939320,876903,768119,695747,612138,523662,452080,374873,301734,242319,187568,138100,94032,69251,45845,82298
0,0,0,2017,326347810,4318208,4310046,4300638,4287388,4269517,4247417,4057461,4026390,4024040,4150304,4167535,4131131,4116105,4122800,4092012,4075276,4178862,4249095,4191765,4207680,4234780,4282666,4388787,4487943,4562522,4685286,4767016,4760714,4574902,4468399,4389531,4403196,4433879,4291685,4352393,4347134,4296214,4377017,4103995,4018570,3974279,3854433,3969804,3843079,3898983,4071493,4301999,4353067,4123238,4034563,4035600,4108248,4351850,4429694,4423211,4411012,4461279,4493505,4339144,4308727,4255936,4098149,4054727,3881753,3726283,3573365,3452251,3358561,3248933,3202305,3319199,2439507,2391317,2316038,2351092,2033236,1841187,1722537,1601445,1512742,1373812,1289637,1212935,1066129,1005423,933553,861188,795854,689364,616848,535460,451434,383559,312559,246897,194305,147157,105923,70370,50508,86825
0,0,0,2018,328857432,4336791,4331248,4324194,4313402,4298409,4279165,4256271,4065896,4034595,4032081,4158044,4174910,4138145,4123115,4130464,4101438,4087942,4195974,4271285,4218823,4238204,4267235,4316155,4422651,4521508,4595069,4716392,4796153,4787639,4599799,4490838,4409508,4420670,4448797,4304593,4363149,4356238,4303900,4383035,4109036,4022154,3976295,3855045,3968542,3840711,3895167,4065977,4294541,4343920,4113249,4023350,4023066,4094006,4334944,4410613,4402319,4388571,4436832,4466889,4311441,4278827,4223843,4064537,4018477,3844048,3686779,3531988,3408543,3312056,3199761,3149230,3259090,2391244,2339127,2260375,2288742,1973814,1781876,1661222,1538391,1446663,1307276,1220388,1140527,995155,930750,856334,782035,714752,611603,540027,461972,383370,320174,256073,198254,152695,112999,79422,51414,93186
0,0,0,2019,331374624,4353160,4350364,4345851,4337343,4324755,4308346,4288282,4264941,4074372,4042908,4040104,4165685,4182200,4145437,4131104,4140275,4114593,4105742,4219018,4299288,4250458,4271855,4301950,4351275,4457436,4555239,4627339,4746603,4824014,4813247,4622965,4511496,4427654,4436218,4462111,4315945,4372751,4364332,4310473,4388127,4112868,4024444,3976995,3854294,3966169,3837295,3890365,4059434,4285870,4333511,4102092,4011183,4009534,4078581,4316648,4390188,4380339,4364977,4411115,4438770,4282005,4247105,4189704,4028766,3979911,3803793,3644630,3487855,3361939,3262433,3147296,3092769,3194980,2339599,2283393,2200992,2222415,1910747,1719012,1596328,1471633,1377036,1237533,1147943,1065095,921679,854201,778058,702775,634604,535834,466336,392663,320348,262644,205895,156031,117458,84830,58152,98276
0,0,0,2020,333895553,4366987,4367279,4365427,4359388,4349032,4334989,4317726,4297207,4273661,4082946,4051198,4048030,4173245,4189765,4153736,4141293,4153915,4133037,4129668,4248065,4332005,4285292,4307770,4338275,4387281,4492358,4588627,4658641,4775465,4850481,4837087,4644280,4530244,4443815,4450110,4473847,4326118,4381287,4371269,4316079,4391952,4115355,4025362,3976298,3852394,3962733,3832915,3884554,4051712,4275913,4321879,4089972,3998011,3994847,4061826,4297045,4368682,4357217,4340165,4383934,4408897,4250761,4213336,4153349,3990649,3938695,3760803,3599636,3440766,3312182,3209471,3091455,3032521,3126445,2284417,2223918,2137789,2151989,1843851,1652414,1527570,1401250,1304029,1164540,1072439,986970,846321,776567,699632,624384,556453,463094,396760,328421,263085,211478,162278,120221,88346,62188,106492
0,0,0,2021,336415622,4377836,4381653,4382802,4379361,4371410,4359556,4344634,4326904,4306189,4282487,4091503,4059396,4055889,4181098,4198364,4164317,4155444,4173012,4157793,4159771,4281955,4367986,4322417,4345290,4375460,4423421,4526896,4621000,4688531,4802863,4875137,4859015,4663590,4546927,4458251,4462406,4484367,4335171,4388654,4377222,4320409,4394367,4116414,4024850,3974393,3849464,3958327,3827515,3877597,4042738,4264770,4309271,4076840,3983685,3978846,4043836,4276387,4346030,4332867,4313884,4355034,4377184,4217475,4177354,4114577,3949889,3894658,3714869,3551581,3390441,3259040,3153058,3031803,2968050,3053227,2225478,2160570,2070621,2077242,1772934,1581772,1454997,1327386,1227564,1088409,994197,906781,769833,698722,622010,547867,481340,394347,332193,269983,212082,166920,125214,90570,64891,114991
