candidate,hth,n,date,firm,total,gop,dem,ind,men,women,white_coll,white_nocoll,age_18_34,age_35_49,age_50_64,age_65_inf,white_men,white_women,white,black,hisp
Clinton,Clinton,1453,2015-12-02,Quinnipiac,0.47,0.07,0.91,0.45,0.39,0.56,0.55,0.44,0.52,0.5,0.49,0.39,0.31,0.45,0.38,0.87,0.76
Trump,Clinton,1453,2015-12-02,Quinnipiac,0.41,0.82,0.07,0.37,0.49,0.33,0.34,0.45,0.32,0.42,0.44,0.46,0.57,0.43,0.5,0.07,0.13
[lost],Clinton,1453,2015-12-02,Quinnipiac,0.08,0.06999999999999999,0.02,0.13,0.08,0.07,0.08,0.07,0.12,0.06,0.05,0.06999999999999999,0.08,0.08,0.08,0.04,0.05
Clinton,Clinton,1144,2015-11-04,Quinnipiac,0.46,0.08,0.91,0.38,0.36,0.55,0.54,0.42,0.58,0.49,0.4,0.44,0.3,0.46,0.38,0.91,NA
Trump,Clinton,1144,2015-11-04,Quinnipiac,0.43,0.81,0.05,0.43,0.52,0.35,0.36,0.47,0.3,0.4,0.5,0.46,0.58,0.43,0.51,0.06,NA
[lost],Clinton,1144,2015-11-04,Quinnipiac,0.07,0.07,0.02,0.12,0.08,0.060000000000000005,0.07,0.07,0.07,0.08,0.05,0.06999999999999999,0.08,0.060000000000000005,0.07,0.01,NA
Clinton,Clinton,1574,2015-09-24,Quinnipiac,0.45,0.1,0.9,0.44,0.37,0.53,0.48,0.44,0.59,0.47,0.4,0.41,0.3,0.46,0.38,0.79,0.7
Trump,Clinton,1574,2015-09-24,Quinnipiac,0.43,0.79,0.04,0.4,0.5,0.36,0.41,0.44,0.27,0.45,0.47,0.45,0.57,0.43,0.49,0.09,0.22
[lost],Clinton,1574,2015-09-24,Quinnipiac,0.08,0.09000000000000001,0.03,0.12000000000000001,0.1,0.07,0.09000000000000001,0.08,0.11,0.06,0.09,0.1,0.11,0.08,0.09000000000000001,0.08,0.05
Clinton,Clinton,1563,2015-08-27,Quinnipiac,0.45,0.08,0.91,0.34,0.39,0.51,0.5,0.43,0.53,0.46,0.44,0.42,0.31,0.41,0.36,0.91,0.67
Trump,Clinton,1563,2015-08-27,Quinnipiac,0.41,0.81,0.05,0.46,0.47,0.36,0.37,0.43,0.32,0.38,0.46,0.45,0.54,0.45,0.49,0.03,0.21
[lost],Clinton,1563,2015-08-27,Quinnipiac,0.1,0.09,0.03,0.16,0.11,0.09000000000000001,0.09,0.11,0.12,0.13,0.060000000000000005,0.08,0.12,0.09,0.1,0.04,0.12000000000000001
Sanders,Sanders,1453,2015-12-02,Quinnipiac,0.49,0.11,0.86,0.52,0.43,0.55,0.56,0.46,0.62,0.49,0.48,0.4,0.36,0.47,0.42,0.82,0.78
Trump,Sanders,1453,2015-12-02,Quinnipiac,0.41,0.8,0.08,0.36,0.47,0.35,0.36,0.43,0.29,0.43,0.45,0.45,0.54,0.43,0.48,0.13,0.11
[lost],Sanders,1453,2015-12-02,Quinnipiac,0.060000000000000005,0.060000000000000005,0.03,0.07,0.06,0.06,0.05,0.060000000000000005,0.04,0.06999999999999999,0.04,0.09000000000000001,0.06,0.06,0.060000000000000005,0.04,0.05
Sanders,Sanders,1144,2015-11-04,Quinnipiac,0.46,0.1,0.85,0.41,0.4,0.51,0.56,0.41,0.62,0.48,0.4,0.42,0.35,0.41,0.38,0.85,NA
Trump,Sanders,1144,2015-11-04,Quinnipiac,0.44,0.81,0.07,0.45,0.51,0.38,0.35,0.48,0.3,0.4,0.51,0.47,0.57,0.46,0.51,0.08,NA
[lost],Sanders,1144,2015-11-04,Quinnipiac,0.05,0.04,0.03,0.1,0.06,0.060000000000000005,0.06,0.060000000000000005,0.02,0.09000000000000001,0.05,0.060000000000000005,0.06,0.060000000000000005,0.05,0.06,NA
Sanders,Sanders,1574,2015-09-24,Quinnipiac,0.47,0.14,0.88,0.45,0.41,0.52,0.49,0.46,0.63,0.48,0.44,0.42,0.35,0.47,0.41,0.75,0.64
Trump,Sanders,1574,2015-09-24,Quinnipiac,0.42,0.76,0.06,0.41,0.48,0.37,0.39,0.43,0.3,0.41,0.45,0.46,0.55,0.43,0.48,0.15,0.24
[lost],Sanders,1574,2015-09-24,Quinnipiac,0.060000000000000005,0.060000000000000005,0.03,0.09,0.060000000000000005,0.06999999999999999,0.08,0.05,0.05,0.05,0.06999999999999999,0.06999999999999999,0.060000000000000005,0.06,0.060000000000000005,0.08,0.06
Sanders,Sanders,1563,2015-08-27,Quinnipiac,0.44,0.09,0.82,0.39,0.42,0.47,0.54,0.4,0.5,0.49,0.43,0.39,0.36,0.43,0.39,0.76,0.57
Trump,Sanders,1563,2015-08-27,Quinnipiac,0.41,0.78,0.07,0.42,0.46,0.36,0.36,0.43,0.29,0.38,0.45,0.47,0.53,0.43,0.48,0.04,0.23
[lost],Sanders,1563,2015-08-27,Quinnipiac,0.08,0.07,0.060000000000000005,0.11,0.09,0.09000000000000001,0.06,0.11,0.12,0.08,0.08,0.08,0.06999999999999999,0.06,0.07,0.14,0.16
