candidate,n,date,firm,total,very_lib,smw_lib,mod_cons,men,women,white,black,white_coll,white_nocoll,reg_dem,dem_lean,age_18_34,age_35_49,age_50_64,age_60_inf,inc_000_050,inc_050_100,inc_100_inf
Biden,648,2019-08-28,Quinnipiac,0.32,0.15,0.29,0.41,0.32,0.32,0.3,0.46,0.29,0.3,0.33,0.28,0.1,0.34,0.37,0.48,0.34,0.28,0.33
Warren,648,2019-08-28,Quinnipiac,0.19,0.34,0.23,0.13,0.18,0.2,0.23,0.1,0.25,0.2,0.19,0.19,0.25,0.19,0.15,0.2,0.16,0.23,0.23
Sanders,648,2019-08-28,Quinnipiac,0.15,0.22,0.18,0.1,0.19,0.12,0.14,0.1,0.09,0.19,0.13,0.21,0.31,0.13,0.12,0.04,0.2,0.16,0.09
Harris,648,2019-08-28,Quinnipiac,0.07,0.12,0.07,0.05,0.06,0.07,0.07,0.07,0.11,0.03,0.08,0.03,0.06,0.07,0.1,0.03,0.03,0.08,0.12
Buttigieg,648,2019-08-28,Quinnipiac,0.05,0.05,0.06,0.05,0.07,0.03,0.07,0,0.07,0.06,0.04,0.08,0.06,0.06,0.03,0.06,0.04,0.03,0.06
Biden,807,2019-08-06,Quinnipiac,0.32,0.19,0.28,0.43,0.33,0.31,0.3,0.47,0.25,0.38,0.33,0.29,0.15,0.3,0.39,0.42,0.33,0.32,0.31
Warren,807,2019-08-06,Quinnipiac,0.21,0.4,0.2,0.11,0.16,0.24,0.27,0.08,0.28,0.26,0.22,0.17,0.25,0.19,0.23,0.18,0.2,0.25,0.19
Sanders,807,2019-08-06,Quinnipiac,0.14,0.2,0.14,0.09,0.19,0.1,0.1,0.16,0.11,0.09,0.12,0.17,0.24,0.19,0.06,0.05,0.19,0.11,0.06
Harris,807,2019-08-06,Quinnipiac,0.07,0.07,0.1,0.04,0.06,0.07,0.08,0.01,0.08,0.07,0.07,0.04,0.05,0.07,0.07,0.07,0.05,0.05,0.1
Buttigieg,807,2019-08-06,Quinnipiac,0.05,0.05,0.08,0.04,0.05,0.05,0.07,0.01,0.08,0.05,0.04,0.08,0.09,0.04,0.04,0.05,0.02,0.06,0.09
Biden,579,2019-07-29,Quinnipiac,0.34,0.25,0.34,0.39,0.35,0.34,0.32,0.53,0.32,0.33,0.35,0.33,NA,NA,0.34,0.47,0.33,0.42,0.3
Warren,579,2019-07-29,Quinnipiac,0.15,0.29,0.14,0.09,0.15,0.15,0.18,0.04,0.21,0.15,0.15,0.13,NA,NA,0.19,0.13,0.11,0.13,0.22
Harris,579,2019-07-29,Quinnipiac,0.12,0.12,0.1,0.12,0.09,0.14,0.13,0.07,0.13,0.14,0.13,0.08,NA,NA,0.16,0.12,0.08,0.13,0.17
Sanders,579,2019-07-29,Quinnipiac,0.11,0.15,0.16,0.08,0.14,0.1,0.08,0.08,0.08,0.08,0.09,0.2,NA,NA,0.07,0.03,0.17,0.1,0.07
Buttigieg,579,2019-07-29,Quinnipiac,0.06,0.09,0.06,0.04,0.06,0.06,0.09,0,0.1,0.06,0.05,0.06,NA,NA,0.08,0.03,0.02,0.03,0.09
Biden,554,2019-07-02,Quinnipiac,0.22,0.13,0.19,0.3,0.22,0.22,0.21,0.31,NA,NA,0.22,0.24,NA,NA,NA,NA,0.21,0.24,0.19
Harris,554,2019-07-02,Quinnipiac,0.2,0.21,0.22,0.18,0.14,0.24,0.2,0.27,NA,NA,0.2,0.18,NA,NA,NA,NA,0.14,0.22,0.26
Warren,554,2019-07-02,Quinnipiac,0.14,0.27,0.11,0.08,0.13,0.15,0.2,0.04,NA,NA,0.16,0.08,NA,NA,NA,NA,0.13,0.1,0.22
Sanders,554,2019-07-02,Quinnipiac,0.13,0.21,0.13,0.08,0.19,0.1,0.11,0.16,NA,NA,0.12,0.2,NA,NA,NA,NA,0.2,0.12,0.08
Buttigieg,554,2019-07-02,Quinnipiac,0.04,0.04,0.03,0.05,0.04,0.04,0.06,0,NA,NA,0.04,0.03,NA,NA,NA,NA,0.03,0.05,0.06
Biden,503,2019-06-11,Quinnipiac,0.3,0.16,0.2,0.38,0.3,0.29,0.27,NA,NA,NA,0.31,0.25,NA,NA,NA,NA,0.25,0.33,0.33
